n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
9014;40535549;20263268;40537796;27131340;419569;136853;294117;222770;825043;493411;647291;423719
9015;40590344;20290665;40592542;27131220;419621;136870;294158;222791;824225;492890;647726;424043
9016;40616887;20303936;40619085;27143042;419673;136887;294199;222765;823903;492637;647664;424029
9017;40649640;20320312;40651838;27166898;419725;136904;294240;222790;824525;493061;647992;424261
9018;40666569;20328776;40668767;27175317;419777;136921;294281;222836;824127;492816;648021;424341
9019;40667688;20329335;40669885;27177000;419829;136938;294322;222938;824775;493203;648207;424374
9020;40672433;20331707;40674631;27179339;419881;136955;294363;222887;824237;492896;648070;424288
9021;40687992;20339486;40690191;27192546;419933;136972;294404;223029;824525;493061;648093;424293
9022;40687523;20339251;40689859;27159247;419985;136989;294445;223000;825822;493746;648116;424334
9023;40684874;20337926;40687210;27159898;420037;137006;294486;223078;825156;493338;648008;424268
9024;40689901;20340439;40692238;27159800;420089;137023;294527;223040;825172;493366;648768;424758
9025;40703310;20347143;40705647;27166716;420141;137040;294568;223137;825570;493632;648506;424514
9026;40715315;20353145;40717653;27168829;420193;137057;294609;223161;825467;493556;648469;424408
9027;40723482;20357228;40725820;27174076;420245;137074;294650;223185;825796;493786;648358;424354
9028;41097989;20544481;41100295;27379818;420297;137091;294691;223187;825127;493336;648712;424699
9029;41099952;20545462;41102259;27381924;420349;137108;294732;223182;825622;493648;648878;424760
9030;41104701;20547836;41107007;27384264;420401;137125;294773;223319;825738;493713;648986;424907
9031;41109804;20550387;41112112;27395774;420453;137142;294814;223240;825935;493793;648419;424460
9032;41119693;20555331;41122001;27400742;420505;137159;294855;223332;826048;493879;649681;425311
9033;41135480;20563224;41137789;27411466;420557;137176;294896;223276;826146;493947;649379;425096
9034;41129241;20560104;41131550;27412944;420609;137193;294937;223356;826426;494068;649160;424994
9035;41140494;20565730;41142775;27481598;420661;137210;294978;223313;826500;494217;648910;424819
9036;41150681;20570823;41152962;27486707;420713;137227;295019;223318;826220;494018;647956;424174
9037;41159410;20575187;41161691;27493106;420765;137244;295060;223358;827003;494483;648866;424817
9038;41162365;20576664;41164645;27494654;420817;137261;295101;223362;826977;494499;649118;424913
9039;41179276;20585119;41181557;27510144;420869;137278;295142;223432;827224;494623;648530;424478
9040;41192355;20591658;41194636;27516680;420921;137295;295183;223438;826944;494448;649101;424917
9041;40838554;20414757;40840859;27081810;420973;137312;295224;223565;826635;494295;649320;425067
9042;40824283;20407621;40826587;27072147;421025;137329;295265;223569;826551;494196;649051;424885
9043;40834342;20412650;40836648;27076562;421077;137346;295306;223491;826810;494380;649407;425115
9044;40839861;20415409;40842167;27079335;421129;137363;295347;223526;827200;494626;649118;424946
9045;40858882;20424919;40861188;27088860;421181;137380;295388;223608;827641;494857;650010;425556
9046;40862879;20426917;40865186;27093892;421233;137397;295429;223653;827253;494688;649791;425403
9047;40885656;20438305;40887963;27112518;421285;137414;295470;223720;827279;494669;649839;425403
9048;41355529;20673241;41357807;27666215;421337;137431;295511;223758;828493;495457;650522;425963
9049;41364850;20677901;41367129;27671300;421389;137448;295552;223791;828495;495435;650231;425699
9050;41379491;20685221;41381770;27678681;421441;137465;295593;223851;828116;495218;650950;426196
9051;41385380;20688165;41387659;27683586;421493;137482;295634;223848;828640;495520;651254;426404
9052;41399757;20695353;41402037;27690043;421545;137499;295675;223818;828155;495248;650881;426184
9053;41402168;20696558;41404448;27693924;421597;137516;295716;223847;828531;495432;651192;426423
9054;40719535;20355241;40721827;27144722;421649;137533;295757;224009;828868;495556;651060;426252
9055;40730208;20360577;40732501;27154198;421701;137550;295798;224053;828573;495396;650567;425921
9056;40740573;20365759;40742865;27158137;421753;137567;295839;224042;828957;495630;650547;425904
9057;40752738;20371841;40755030;27169648;421805;137584;295880;224099;829243;495829;650670;425946
9058;40781997;20386470;40784290;27183474;421857;137601;295921;224100;828760;495550;650713;426007
9059;40798008;20394475;40800303;27199968;421909;137618;295962;224124;829707;496077;651256;426367
9060;40806875;20398908;40809170;27204473;421961;137635;296003;224118;830058;496311;650391;425775
9061;40800026;20395483;40802370;27145910;422013;137652;296044;224128;829347;495906;651985;426817
9062;40794525;20392732;40796866;27143449;422065;137669;296085;224139;829730;496118;651265;426334
9063;40802118;20396528;40804461;27150778;422117;137686;296126;224151;829186;495829;651921;426759
9064;40803711;20397324;40806054;27151494;422169;137703;296167;224211;829851;496233;651358;426364
9065;40806202;20398569;40808546;27153106;422221;137720;296208;224208;829982;496295;651601;426511
9066;40809937;20400436;40812281;27154939;422273;137737;296249;224292;829513;495997;652677;427293
9067;40833154;20412044;40835498;27169184;422325;137754;296290;224353;830202;496395;652290;427062
9068;41171953;20581443;41174283;27519743;422377;137771;296331;224212;830439;496551;651421;426454
9069;41181244;20586088;41183573;27533070;422429;137788;296372;224276;830359;496534;652318;426985
9070;41187623;20589277;41189952;27536175;422481;137805;296413;224316;830765;496748;651371;426374
9071;41199434;20595182;41201764;27544780;422533;137822;296454;224354;831016;496921;652064;426818
9072;41201241;20596085;41203571;27545705;422585;137839;296495;224382;830331;496515;652156;426868
9073;41214564;20602746;41216895;27558182;422637;137856;296536;224385;831032;496910;652180;426877
9074;41263635;20627281;41265915;27595906;422689;137873;296577;224596;830912;496817;652959;427419
9075;41250026;20620476;41252307;27588896;422741;137890;296618;224624;830939;496823;652838;427388
9076;41245189;20618057;41247469;27590795;422793;137907;296659;224607;830797;496759;652648;427231
9077;41250338;20620631;41252618;27595142;422845;137924;296700;224647;830201;496415;653102;427532
9078;41271805;20631364;41274086;27606417;422897;137941;296741;224745;830907;496842;652815;427320
9079;41300890;20645906;41303171;27628120;422949;137958;296782;224698;830726;496727;653213;427568
9080;41310705;20650813;41312986;27632960;423001;137975;296823;224773;830685;496740;652969;427465
9081;41461278;20726099;41463549;27624380;423053;137992;296864;224746;831633;497262;654042;428193
9082;41465503;20728211;41467774;27626532;423105;138009;296905;224757;832123;497569;652989;427533
9083;41477958;20734438;41480230;27636942;423157;138026;296946;224831;831354;497094;654077;428210
9084;41483551;20737234;41485823;27639779;423209;138043;296987;224840;831628;497263;654014;428207
9085;41487666;20739291;41489938;27642520;423261;138060;297028;224822;831489;497145;654100;428254
9086;41518359;20754637;41520632;27657860;423313;138077;297069;224886;831891;497388;653810;428060
9087;41253532;20622223;41255795;27502908;423365;138094;297110;224912;832624;497899;653161;427573
9088;41277721;20634317;41279983;27516849;423417;138111;297151;224899;831693;497346;653137;427579
9089;41276830;20633871;41279092;27509626;423469;138128;297192;224923;832803;497997;652608;427164
9090;41284941;20637926;41287202;27513718;423521;138145;297233;224956;832086;497562;652770;427251
9091;41289078;20639994;41291340;27518206;423573;138162;297274;225032;832529;497864;652469;427043
9092;41305609;20648259;41307871;27526445;423625;138179;297315;225034;832346;497759;653347;427660
9093;41328226;20659567;41330489;27540420;423677;138196;297356;225097;833114;498203;653341;427684
9094;41230205;20610556;41232463;27495008;423729;138213;297397;225103;831601;497344;652208;427010
9095;41230918;20610912;41233176;27499854;423781;138230;297438;225159;832292;497720;652351;427144
9096;41231869;20611387;41234129;27497447;423833;138247;297479;225223;831615;497346;652789;427453
9097;41245228;20618066;41247487;27506450;423885;138264;297520;225171;832259;497726;653002;427537
9098;41264425;20627664;41266684;27514910;423937;138281;297561;225185;832800;498048;653167;427678
9099;41265988;20628445;41268247;27518302;423989;138298;297602;225242;832418;497750;653334;427743
9100;41623599;20807250;41625869;27593431;424041;138315;297643;225285;832771;497950;653015;427439
9101;41641440;20816170;41643711;27605116;424093;138332;297684;225290;833296;498280;653237;427649
9102;41642683;20816791;41644954;27605776;424145;138349;297725;225323;832802;497993;653515;427855
9103;41643668;20817283;41645939;27606464;424197;138366;297766;225414;833404;498343;653267;427640
9104;41661481;20826189;41663753;27615415;424249;138383;297807;225463;832955;498086;653866;428068
9105;41667830;20829363;41670102;27627642;424301;138400;297848;225440;833906;498680;653874;428043
9106;41677525;20834210;41679797;27632604;424353;138417;297889;225502;833839;498613;654531;428499
9107;41014532;20502713;41016828;27412340;424405;138434;297930;225575;834022;498685;655229;428996
9108;41013673;20502283;41015968;27409319;424457;138451;297971;225589;834521;498965;654987;428868
9109;41023476;20507184;41025771;27419732;424509;138468;298012;225512;834790;499174;655750;429319
9110;41024577;20507734;41026872;27420304;424561;138485;298053;225619;834792;499179;655420;429118
9111;41037638;20514264;41039935;27432764;424613;138502;298094;225596;835087;499369;655931;429524
9112;41052605;20521747;41054901;27440418;424665;138519;298135;225652;835243;499471;656114;429626
9113;41457316;20724102;41459549;27722752;424717;138536;298176;225717;834753;499113;654936;428772
9114;41485903;20738395;41488137;27736496;424769;138553;298217;225779;834204;498795;655602;429165
9115;41507336;20749111;41509566;27744640;424821;138570;298258;225798;834737;499076;655188;428916
9116;41511647;20751266;41513877;27746688;424873;138587;298299;225782;834923;499235;655539;429078
9117;41514002;20752443;41516231;27748892;424925;138604;298340;225852;835044;499302;655747;429289
9118;41533407;20762145;41535633;27755202;424977;138621;298381;225927;834801;499161;655714;429205
9119;41545838;20768360;41548065;27762090;425029;138638;298422;225958;835355;499439;656306;429650
9120;41156551;20573716;41158813;27376747;425081;138655;298463;225924;835649;499646;655969;429361
9121;41146914;20568897;41149178;27380162;425133;138672;298504;225946;835826;499775;655739;429233
9122;41150033;20570456;41152298;27381689;425185;138689;298545;225969;835939;499852;655857;429255
9123;41166372;20578625;41168637;27396586;425237;138706;298586;226039;835455;499572;655532;429110
9124;41166903;20578890;41169168;27396911;425289;138723;298627;225926;835939;499834;655947;429324
9125;41182528;20586702;41184794;27412360;425341;138740;298668;226031;836315;500051;656056;429409
9126;41183093;20586984;41185359;27412625;425393;138757;298709;226024;836321;500078;656232;429555
9127;41970106;20980490;41972409;27993176;425445;138774;298750;226070;835244;499466;656633;429797
9128;41986231;20988552;41988534;28001248;425497;138791;298791;226090;835290;499443;656995;430078
9129;41995566;20993219;41997870;28009310;425549;138808;298832;226122;836374;500107;656238;429552
9130;41987501;20989186;41989805;28002461;425601;138825;298873;226193;836063;499931;656375;429689
9131;41991174;20991022;41993478;28006232;425653;138842;298914;226235;836112;499932;656729;429938
9132;42006317;20998593;42008621;28013744;425705;138859;298955;226276;835845;499806;657077;430148
9133;41708532;20849700;41710867;27956344;425757;138876;298996;226292;836789;500354;656917;430057
9134;41726575;20858721;41728910;27965355;425809;138893;299037;226335;836978;500432;657433;430390
9135;41751846;20871356;41754180;27981754;425861;138910;299078;226341;836676;500235;657448;430414
9136;41752879;20871872;41755212;27982264;425913;138927;299119;226440;837310;500626;657012;430089
9137;41747156;20869010;41749490;27981304;425965;138944;299160;226409;837426;500724;657416;430355
9138;41753317;20872090;41755651;27984331;426017;138961;299201;226525;837276;500619;656592;429861
9139;41565276;20778069;41567545;27747218;426069;138978;299242;226576;837706;500971;657337;430321
9140;41595255;20793058;41597525;27762363;426121;138995;299283;226573;837706;500944;657694;430597
9141;41602460;20796660;41604731;27762488;426173;139012;299324;226559;837948;501099;657630;430566
9142;41588057;20789458;41590327;27761057;426225;139029;299365;226577;837807;500979;657788;430655
9143;41599982;20795420;41602252;27771934;426277;139046;299406;226690;837937;501058;657215;430283
9144;41604473;20797665;41606743;27774075;426329;139063;299447;226659;837882;501057;658381;431038
9145;41605482;20798169;41607752;27776236;426381;139080;299488;226727;838217;501260;658065;430767
9146;42081911;21036383;42084173;28051876;426433;139097;299529;226605;838906;501616;657772;430648
9147;42093722;21042288;42095985;28056162;426485;139114;299570;226734;839335;501922;657870;430602
9148;42114583;21052718;42116845;28069263;426537;139131;299611;226801;839419;501997;657935;430679
9149;42105386;21048119;42107649;28076482;426589;139148;299652;226842;839308;501889;657740;430535
9150;42102021;21046436;42104283;28072835;426641;139165;299693;226869;839180;501815;657243;430224
9151;42109984;21050417;42112247;28080540;426693;139182;299734;226853;839931;502272;657992;430775
9152;41868667;20929758;41870944;27958760;426745;139199;299775;226873;838941;501648;658733;431198
9153;41874018;20932433;41876297;27969702;426797;139216;299816;227023;838763;501545;658555;431074
9154;41892845;20941846;41895126;27979673;426849;139233;299857;226925;839270;501845;658431;430971
9155;41901636;20946241;41903918;27984990;426901;139250;299898;226942;839061;501675;658686;431133
9156;41913063;20951954;41915345;27990702;426953;139267;299939;227067;839290;501838;659198;431513
9157;41909280;20950062;41911563;27991966;427005;139284;299980;227034;839513;501974;659544;431802
9158;41912257;20951550;41914540;27993393;427057;139301;300021;227109;839675;502046;658735;431260
9159;41856892;20923867;41859203;27845204;427109;139318;300062;227161;839878;502222;659785;431989
9160;41886047;20938444;41888359;27861024;427161;139335;300103;227163;840326;502487;659414;431744
9161;41895388;20943114;41897700;27868886;427213;139352;300144;227144;840274;502444;659674;431908
9162;41913345;20952092;41915657;27877887;427265;139369;300185;227281;840437;502505;660144;432258
9163;41906894;20948866;41909207;27873008;427317;139386;300226;227288;840632;502637;659689;431914
9164;41906049;20948443;41908362;27869223;427369;139403;300267;227287;840348;502458;659938;432064
9165;41976608;20983722;41978885;28040996;427421;139420;300308;227258;840608;502712;659499;431784
9166;42006049;20998442;42008327;28056011;427473;139437;300349;227314;840587;502637;660006;432189
9167;42010590;21000712;42012868;28062840;427525;139454;300390;227352;840692;502733;659889;432081
9168;42021337;21006085;42023614;28068564;427577;139471;300431;227327;840797;502811;659857;432052
9169;42010308;21000570;42012587;28068252;427629;139488;300472;227411;841308;503085;658945;431401
9170;42012927;21001879;42015207;28068638;427681;139505;300513;227440;840700;502711;659718;431928
9171;42002704;20996767;42004983;28059896;427733;139522;300554;227455;841110;502995;659952;432051
9172;42103715;21047272;42106026;28175357;427785;139539;300595;227463;841581;503154;660919;432766
9173;42118246;21054537;42120557;28183164;427837;139556;300636;227502;840846;502749;660657;432579
9174;42119619;21055223;42121929;28187477;427889;139573;300677;227559;841448;503078;660906;432672
9175;42134162;21062494;42136473;28201066;427941;139590;300718;227603;841784;503297;660522;432414
9176;42147805;21069315;42150116;28207863;427993;139607;300759;227618;841860;503301;660499;432430
9177;42154608;21072716;42156919;28214626;428045;139624;300800;227685;841602;503151;660988;432760
9178;42096871;21043847;42099203;27961165;428097;139641;300841;227674;841124;502955;660041;432104
9179;42100920;21045871;42103253;27969606;428149;139658;300882;227713;841573;503221;660272;432245
9180;42113909;21052365;42116243;27979103;428201;139675;300923;227768;841866;503421;660211;432184
9181;42123896;21057358;42126230;27985888;428253;139692;300964;227785;842196;503556;660373;432331
9182;42108983;21049901;42111318;27981681;428305;139709;301005;227770;841855;503371;660680;432545
9183;42115502;21053160;42117838;27987884;428357;139726;301046;227839;842089;503518;660656;432485
9184;42132331;21061574;42134667;27996253;428409;139743;301087;227867;841625;503270;660741;432588
9185;42259930;21125373;42262173;28204628;428461;139760;301128;227913;841613;503252;661267;432868
9186;42264829;21127822;42267072;28207040;428513;139777;301169;228012;841565;503249;660561;432363
9187;42308020;21149417;42310263;28230540;428565;139794;301210;227917;842452;503749;661006;432646
9188;42318221;21154517;42320463;28232981;428617;139811;301251;228012;842237;503630;660737;432545
9189;42327190;21159001;42329432;28240078;428669;139828;301292;227993;841589;503234;660625;432406
9190;42332835;21161823;42335079;28243108;428721;139845;301333;228043;842200;503599;661327;432934
9191;42376694;21183752;42378964;28099260;428773;139862;301374;228178;842182;503554;661549;433144
9192;42378497;21184653;42380767;28100153;428825;139879;301415;228067;842237;503600;661456;433090
9193;42404118;21197463;42406389;28119784;428877;139896;301456;228256;842530;503791;661158;432834
9194;42383913;21187360;42386182;28115534;428929;139913;301497;228278;842537;503711;661098;432819
9195;42385718;21188262;42387987;28120426;428981;139930;301538;228266;842733;503865;661622;433169
9196;42390815;21190810;42393083;28126458;429033;139947;301579;228238;842820;503928;661422;432990
9197;42421164;21205984;42423432;28144166;429085;139964;301620;228280;842763;503892;661978;433396
9198;42511783;21251293;42514095;28226402;429137;139981;301661;228273;842872;504001;661445;433040
9199;42536438;21263620;42538748;28242072;429189;139998;301702;228433;842873;503972;661531;433150
9200;42546811;21268806;42549120;28249858;429241;140015;301743;228414;843020;504056;661434;433074
9201;42551220;21271010;42553529;28254468;429293;140032;301784;228479;843009;504075;661806;433320
9202;42565309;21278054;42567617;28259785;429345;140049;301825;228396;843455;504323;661866;433377
9203;42575574;21283186;42577883;28271474;429397;140066;301866;228414;843778;504514;661748;433235
9204;42146697;21068747;42148950;28177557;429449;140083;301907;228491;843644;504461;661732;433087
9205;42165356;21078076;42167612;28195054;429501;140100;301948;228526;843953;504629;661070;432701
9206;42169137;21079966;42171393;28196930;429553;140117;301989;228531;844077;504708;661423;432916
9207;42187610;21089202;42189868;28213442;429605;140134;302030;228577;843812;504548;661365;432948
9208;42197815;21094304;42200073;28218543;429657;140151;302071;228684;843854;504569;661732;433180
9209;42184274;21087533;42186530;28206178;429709;140168;302112;228746;843963;504669;661584;433065
9210;42289929;21140360;42292251;28101973;429761;140185;302153;228692;844104;504765;662116;433438
9211;42291838;21141314;42294159;28105754;429813;140202;302194;228694;843713;504536;662654;433790
9212;42289267;21140028;42291588;28102455;429865;140219;302235;228760;844457;505016;663300;434223
9213;42290444;21140616;42292765;28104096;429917;140236;302276;228838;844610;505076;662695;433780
9214;42307689;21149238;42310010;28112781;429969;140253;302317;228849;844877;505232;663193;434131
9215;42318278;21154532;42320599;28121218;430021;140270;302358;228958;845169;505431;663060;434073
9216;42329751;21160268;42332071;28125430;430073;140287;302399;228919;845168;505436;663598;434443
9217;42407804;21199294;42410079;28288280;430125;140304;302440;228998;846997;506533;662815;433870
9218;42418103;21204443;42420378;28293533;430177;140321;302481;228967;846159;506028;663062;434084
9219;42409562;21200172;42411838;28290014;430229;140338;302522;228957;846476;506198;663386;434273
9220;42418073;21204427;42420348;28294302;430281;140355;302563;228948;846594;506244;663244;434164
9221;42412606;21201693;42414883;28288276;430333;140372;302604;229009;846566;506240;663837;434568
9222;42422657;21206718;42424934;28293292;430385;140389;302645;229047;846905;506465;663307;434188
9223;42351216;21170997;42353472;28226994;430437;140406;302686;229075;846952;506440;664001;434675
9224;42366771;21178774;42369028;28233749;430489;140423;302727;229095;847303;506689;664087;434701
9225;42384072;21187424;42386331;28243898;430541;140440;302768;229100;847167;506601;664261;434821
9226;42383759;21187267;42386017;28249947;430593;140457;302809;229204;847559;506855;664413;434961
9227;42407262;21199018;42409519;28265940;430645;140474;302850;229175;847210;506650;664419;434997
9228;42415755;21203264;42418011;28272068;430697;140491;302891;229209;847141;506590;664271;434861
9229;42440002;21215387;42442262;28287112;430749;140508;302932;229259;847690;506917;664257;434838
9230;43049583;21520177;43051886;28706805;430801;140525;302973;229270;846192;505989;664270;434863
9231;43062418;21526594;43064721;28715048;430853;140542;303014;229259;846667;506275;664506;435048
9232;43074405;21532587;43076709;28724037;430905;140559;303055;229267;846379;506092;665096;435455
9233;43086506;21538637;43088811;28731332;430957;140576;303096;229306;846602;506219;664228;434824
9234;43103429;21547098;43105734;28739798;431009;140593;303137;229415;846462;506115;664847;435251
9235;43112816;21551791;43115121;28748240;431061;140610;303178;229296;847406;506729;664385;434966
9236;43004065;21497415;43006388;28688008;431113;140627;303219;229474;847083;506544;664300;434773
9237;43012312;21501538;43014635;28694852;431165;140644;303260;229402;847329;506640;664068;434631
9238;43019877;21505320;43022200;28698625;431217;140661;303301;229535;847671;506844;663782;434393
9239;43027962;21509362;43030286;28702958;431269;140678;303342;229559;847831;506905;664521;434973
9240;43036341;21513551;43038665;28707198;431321;140695;303383;229622;847397;506714;664347;434796
9241;43054064;21522412;43056388;28720840;431373;140712;303424;229524;847796;506906;665058;435276
9242;43414439;21702599;43416771;28820152;431425;140729;303465;229591;847145;506570;664939;435355
9243;43419116;21704937;43421448;28826278;431477;140746;303506;229643;847199;506597;664669;435199
9244;43421871;21706314;43424203;28827703;431529;140763;303547;229618;847245;506613;665113;435460
9245;43430560;21710658;43432894;28834782;431581;140780;303588;229679;847466;506792;665314;435664
9246;43441061;21715908;43443395;28840002;431633;140797;303629;229775;847669;506881;666172;436207
9247;43450902;21720828;43453237;28844588;431685;140814;303670;229801;847505;506759;665699;435860
9248;43115253;21553003;43117544;28612748;431737;140831;303711;229833;848114;507155;665279;435467
9249;43128354;21559553;43130645;28619416;431789;140848;303752;229812;848271;507192;665758;435823
9250;43121851;21556301;43124141;28617710;431841;140865;303793;229862;848694;507447;665456;435581
9251;43113438;21552094;43115729;28617704;431893;140882;303834;229906;848408;507305;666115;436006
9252;43113789;21552269;43116080;28617933;431945;140899;303875;229886;848369;507263;666580;436336
9253;43123292;21557020;43125584;28627362;431997;140916;303916;229986;848714;507473;666365;436241
9254;43139931;21565339;43142223;28635753;432049;140933;303957;229963;848888;507569;665720;435818
9255;43035666;21513206;43037973;28665308;432101;140950;303998;229954;849320;507860;666631;436474
9256;43053625;21522185;43055932;28674303;432153;140967;304039;230038;849318;507840;666272;436202
9257;43054486;21522615;43056793;28683376;432205;140984;304080;230074;849484;507919;665806;435871
9258;43058369;21524556;43060676;28685453;432257;141001;304121;230109;849214;507757;666296;436250
9259;43075562;21533152;43077870;28700816;432309;141018;304162;230096;849507;507954;666443;436352
9260;43082963;21536852;43085270;28704159;432361;141035;304203;230163;849957;508197;667073;436754
9261;42836754;21413747;42839151;28410020;432413;141052;304244;230186;850578;508497;667672;437167
9262;42837981;21414360;42840378;28410537;432465;141069;304285;230207;850402;508390;666832;436564
9263;42851762;21421250;42854159;28418246;432517;141086;304326;230224;850780;508627;667101;436734
9264;42856455;21423596;42858852;28420539;432569;141103;304367;230272;850762;508576;666723;436434
9265;42868766;21429751;42871164;28430468;432621;141120;304408;230284;850481;508415;667337;436916
9266;42875369;21433052;42877768;28436757;432673;141137;304449;230344;850767;508584;667344;436896
9267;42869180;21429957;42871473;28467392;432725;141154;304490;230317;849972;508230;667369;436921
9268;42876679;21433706;42878973;28469693;432777;141171;304531;230358;849890;508187;666926;436556
9269;42894146;21442439;42896442;28483188;432829;141188;304572;230428;850601;508628;667698;437103
9270;42906607;21448669;42908903;28489388;432881;141205;304613;230415;850279;508360;667498;436933
9271;42916836;21453783;42919132;28495442;432933;141222;304654;230525;850437;508503;667504;436996
9272;42926491;21458610;42928787;28500296;432985;141239;304695;230529;850009;508246;668113;437395
9273;42938746;21464737;42941043;28507722;433037;141256;304736;230600;850640;508628;667746;437139
9274;42650703;21320715;42652984;28466127;433089;141273;304777;230537;851915;509423;668189;437510
9275;42679626;21335176;42681909;28488104;433141;141290;304818;230508;852004;509449;668095;437416
9276;42666549;21328637;42668832;28474158;433193;141307;304859;230581;851942;509450;668684;437804
9277;42668082;21329403;42670366;28476732;433245;141324;304900;230626;852086;509537;668404;437656
9278;42678389;21334556;42680673;28481907;433297;141341;304941;230669;852315;509637;669047;438083
9279;42687620;21339171;42689904;28486916;433349;141358;304982;230655;852330;509631;668793;437922
9280;42919499;21455110;42921830;28771390;433401;141375;305023;230766;852526;509764;668133;437394
9281;42927062;21458891;42929392;28782534;433453;141392;305064;230758;852486;509754;668321;437576
9282;42944337;21467528;42946667;28791136;433505;141409;305105;230918;851793;509385;668668;437830
9283;42958556;21474637;42960886;28799778;433557;141426;305146;230869;852726;509901;668202;437484
9284;42964091;21477404;42966421;28802540;433609;141443;305187;230871;852089;509558;669035;438023
9285;42969554;21480135;42971884;28811372;433661;141460;305228;230971;852470;509741;668885;437978
9286;43089271;21539993;43091596;28819161;433713;141477;305269;230786;852495;509775;668750;437834
9287;43090858;21540786;43093182;28823642;433765;141494;305310;230877;853096;510085;669429;438267
9288;43093899;21542306;43096224;28825193;433817;141511;305351;230907;852969;510057;668769;437820
9289;43111816;21551264;43114142;28841736;433869;141528;305392;231013;853226;510215;669488;438281
9290;43112559;21551635;43114883;28844612;433921;141545;305433;231075;853302;510258;669605;438395
9291;43121682;21556196;43124009;28841840;433973;141562;305474;231034;853399;510319;668903;438002
9292;43122021;21556365;43124349;28840943;434025;141579;305515;231020;853459;510295;669614;438509
9293;43865196;21927952;43867510;29151172;434077;141596;305556;231093;851882;509369;668840;437903
9294;43881899;21936303;43884213;29159551;434129;141613;305597;231167;852263;509579;668584;437689
9295;43889426;21940066;43891740;29167926;434181;141630;305638;231123;852391;509683;669072;438027
9296;43919079;21954892;43921394;29179671;434233;141647;305679;231157;852876;509952;668815;437851
9297;43936518;21963611;43938834;29189970;434285;141664;305720;231098;853194;510138;669061;438058
9298;43946833;21968768;43949148;29195120;434337;141681;305761;231201;852373;509641;669203;438134
9299;42697656;21344179;42699952;28610118;434389;141698;305802;231365;854539;510970;670109;438740
9300;42705521;21348111;42707816;28614004;434441;141715;305843;231348;854673;511053;670707;439146
9301;42715496;21353098;42717792;28619982;434493;141732;305884;231465;854787;511131;671393;439532
9302;42717029;21353864;42719324;28620719;434545;141749;305925;231493;854949;511239;670592;439016
9303;42732250;21361474;42734546;28635160;434597;141766;305966;231472;855363;511434;671068;439333
9304;42734121;21362409;42736415;28633633;434649;141783;306007;231496;855338;511460;670985;439277
9305;43082576;21536636;43084877;28849024;434701;141800;306048;231444;854989;511252;670402;438871
9306;43087221;21538958;43089522;28851282;434753;141817;306089;231434;854823;511149;670942;439210
9307;43092846;21541770;43095148;28854526;434805;141834;306130;231549;854769;511086;670331;438821
9308;43094721;21542707;43097024;28849983;434857;141851;306171;231544;854521;510937;671068;439276
9309;43106246;21548469;43108549;28860948;434909;141868;306212;231637;855170;511310;671212;439399
9310;43115065;21552878;43117368;28865307;434961;141885;306253;231689;854958;511236;669860;438527
9311;43115760;21553225;43118063;28869788;435013;141902;306294;231697;855403;511492;670861;439159
9312;43799055;21894872;43801442;29161368;435065;141919;306335;231682;854431;510841;670610;439001
9313;43815788;21903238;43818175;29170200;435117;141936;306376;231629;855068;511283;670988;439277
9314;43817109;21903898;43819496;29170888;435169;141953;306417;231643;855917;511790;670845;439212
9315;43815646;21903166;43818033;29165974;435221;141970;306458;231685;855730;511678;670935;439293
9316;43831207;21910946;43833595;29173677;435273;141987;306499;231797;855268;511357;670926;439206
9317;43831708;21911196;43834097;29174516;435325;142004;306540;231826;854779;511066;670759;439099
9318;43312367;21651525;43314725;28834206;435377;142021;306581;231935;856171;511939;671377;439657
9319;43322224;21656453;43324583;28837944;435429;142038;306622;231984;856120;511900;671594;439793
9320;43326079;21658380;43328438;28839933;435481;142055;306663;232002;856436;512081;670786;439246
9321;43341210;21665945;43343570;28853166;435533;142072;306704;231976;856267;511978;671798;439880
9322;43345765;21668222;43348125;28855507;435585;142089;306745;231954;856050;511857;672055;440068
9323;43330632;21660655;43332993;28853892;435637;142106;306786;232084;856262;511949;671615;439760
9324;43645329;21818003;43647678;29074946;435689;142123;306827;232089;856794;512235;672506;440255
9325;43657538;21824107;43659886;29088150;435741;142140;306868;232055;857079;512433;672125;439985
9326;43682749;21836712;43685098;29101275;435793;142157;306909;232127;856967;512357;671669;439712
9327;43679966;21835320;43682314;29098230;435845;142174;306950;232094;857124;512460;671791;439813
9328;43713841;21852257;43716190;29112021;435897;142191;306991;232222;856924;512332;672001;439942
9329;43724688;21857680;43727039;29119780;435949;142208;307032;232249;856533;512112;671933;439886
9330;43008651;21499661;43010995;28684802;436001;142225;307073;232228;857156;512513;672457;440302
9331;43009664;21500167;43012008;28693232;436053;142242;307114;232302;857807;512906;672199;440053
9332;43022189;21506429;43024533;28699500;436105;142259;307155;232323;857709;512838;672465;440289
9333;43039988;21515328;43042333;28710898;436157;142276;307196;232268;857765;512891;673642;441034
9334;43024895;21507781;43027239;28698806;436209;142293;307237;232392;858576;513402;672397;440254
9335;43036190;21513428;43038534;28705264;436261;142310;307278;232353;858273;513228;672291;440100
9336;43051437;21521051;43053781;28712924;436313;142327;307319;232445;858285;513204;673004;440606
