n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
209;19878;9835;19930;13192;6331;2042;4466;3167;10565;6296;8693;5648
210;23541;11666;23598;15488;6365;2053;4481;3187;10517;6269;8747;5681
211;21780;10785;21841;14344;6399;2064;4496;3228;10745;6398;8874;5766
212;21665;10727;21712;14488;6433;2075;4511;3223;10851;6471;8878;5758
213;22960;11374;23006;15010;6467;2086;4526;3234;10910;6509;8922;5802
214;22963;11375;23017;15284;6501;2097;4541;3261;10891;6499;8993;5846
215;24402;12094;24448;16150;6535;2108;4556;3269;11070;6603;8943;5814
216;23705;11745;23749;16048;6569;2119;4571;3306;11042;6584;9199;5977
217;23048;11416;23102;15106;6603;2130;4586;3288;11150;6644;9106;5911
218;24433;12108;24488;15550;6637;2141;4601;3304;11077;6598;9161;5948
219;26796;13289;26846;17176;6671;2152;4616;3325;11139;6636;9092;5903
220;25053;12417;25102;16759;6705;2163;4631;3343;11328;6762;9328;6076
221;24870;12325;24923;16056;6739;2174;4646;3351;11332;6763;9252;6012
222;24951;12365;25010;15803;6773;2185;4661;3368;11480;6845;9379;6100
223;23892;11835;23949;15480;6807;2196;4676;3380;11511;6864;9520;6199
224;24849;12313;24896;16351;6841;2207;4691;3404;11598;6921;9583;6229
225;26140;12958;26192;16952;6875;2218;4706;3409;11542;6883;9627;6252
226;24737;12256;24793;16615;6909;2229;4721;3423;11757;7011;9496;6175
227;22736;11255;22784;15284;6943;2240;4736;3419;11798;7037;9738;6324
228;24943;12358;24995;15867;6977;2251;4751;3447;11808;7035;9747;6336
229;26608;13190;26669;17604;7011;2262;4766;3453;11959;7129;9870;6429
230;26373;13072;26437;17068;7045;2273;4781;3465;12026;7172;9767;6353
231;27786;13778;27835;18102;7079;2284;4796;3496;11970;7137;9754;6343
232;28915;14342;28961;18765;7113;2295;4811;3500;12097;7213;9817;6376
233;28236;14002;28287;17862;7147;2306;4826;3525;12089;7208;9851;6392
234;29301;14534;29362;18855;7181;2317;4841;3539;12016;7171;9944;6461
235;28328;14047;28385;18288;7215;2328;4856;3550;12240;7299;10130;6587
236;27125;13445;27179;17693;7249;2339;4871;3567;12438;7422;10128;6582
237;26514;13139;26571;17468;7283;2350;4886;3579;12517;7471;10198;6634
238;28759;14261;28821;18155;7317;2361;4901;3583;12241;7300;10159;6601
239;28940;14351;29002;19050;7351;2372;4916;3609;12569;7493;10239;6651
240;27921;13841;27990;18182;7385;2383;4931;3622;12654;7542;10367;6740
241;27678;13719;27743;18172;7419;2394;4946;3641;12737;7595;10423;6772
242;30625;15192;30678;19840;7453;2405;4961;3644;12672;7560;10422;6771
243;28982;14370;29037;19870;7487;2416;4976;3667;12671;7559;10589;6878
244;29919;14838;29974;19710;7521;2427;5008;3686;12745;7600;10524;6840
245;31630;15693;31696;20762;7555;2438;5040;3692;12881;7685;10526;6845
246;34201;16978;34272;21793;7589;2449;5072;3711;12839;7658;10560;6867
247;33198;16476;33257;21704;7623;2460;5104;3730;12997;7744;10724;6980
248;31395;15574;31447;20660;7657;2471;5136;3754;13070;7802;10764;7002
249;33044;16398;33097;21620;7691;2482;5168;3789;13162;7855;10797;7029
250;31403;15577;31465;20589;7725;2493;5200;3793;13224;7887;10976;7142
251;31170;15460;31236;20878;7759;2504;5232;3808;13208;7877;10799;7019
252;32075;15912;32134;20992;7793;2515;5264;3835;13303;7942;10788;7011
253;33048;16398;33106;21214;7827;2526;5296;3854;13359;7974;10928;7094
254;36709;18228;36774;23358;7861;2537;5328;3880;13218;7881;10980;7140
255;37782;18764;37850;23562;7895;2548;5360;3902;13409;7994;11035;7174
256;33703;16724;33773;22246;7929;2559;5392;3915;13641;8142;11035;7177
257;32862;16303;32929;21658;7966;2571;5424;3945;13448;8033;11112;7230
258;33339;16541;33406;22043;8003;2583;5456;3957;13642;8134;11297;7343
259;33312;16527;33379;21996;8040;2595;5488;3986;13758;8205;11258;7316
260;34523;17132;34594;22588;8077;2607;5520;4005;13751;8201;11335;7369
261;33914;16827;33980;22590;8114;2619;5552;4033;13792;8224;11456;7454
262;34667;17203;34731;22698;8151;2631;5584;4041;13984;8344;11439;7437
263;36468;18103;36542;23764;8188;2643;5616;4056;13968;8325;11439;7437
264;35453;17595;35529;22969;8225;2655;5648;4094;13944;8316;11474;7463
265;35026;17381;35103;23244;8262;2667;5680;4103;14138;8429;11497;7471
266;38093;18914;38165;24228;8299;2679;5712;4127;14159;8444;11488;7465
267;37372;18553;37453;24216;8336;2691;5744;4149;14348;8552;11456;7442
268;35803;17768;35884;23999;8373;2703;5776;4162;14504;8648;11726;7625
269;34260;16996;34335;23138;8410;2715;5808;4180;14368;8575;11783;7661
270;35533;17632;35604;23050;8447;2727;5840;4213;14409;8592;11839;7702
271;36100;17915;36161;23858;8484;2739;5872;4238;14547;8679;11944;7774
272;35821;17775;35885;23072;8521;2751;5904;4267;14629;8725;11945;7778
273;37116;18422;37186;23314;8558;2763;5936;4274;14562;8685;11910;7743
274;39337;19532;39400;25083;8595;2775;5968;4292;14618;8711;12083;7865
275;41060;20393;41114;26478;8632;2787;6000;4308;14687;8762;12214;7945
276;39129;19427;39192;25391;8669;2799;6032;4332;14951;8921;12231;7968
277;39428;19576;39503;25868;8706;2811;6064;4356;15031;8962;12213;7950
278;38207;18965;38281;25093;8743;2823;6096;4380;15063;8976;12185;7925
279;39338;19530;39413;25686;8780;2835;6128;4390;14979;8931;12241;7969
280;39715;19718;39785;25713;8817;2847;6160;4415;15155;9032;12223;7960
281;40446;20083;40522;26234;8854;2859;6192;4434;15172;9043;12278;8000
282;39501;19610;39571;25417;8891;2871;6224;4454;15130;9022;12350;8036
283;40790;20254;40865;26552;8928;2883;6256;4489;15245;9098;12489;8130
284;42939;21328;43013;27256;8965;2895;6288;4500;15353;9152;12513;8136
285;45000;22358;45078;29270;9002;2907;6320;4539;15288;9117;12484;8113
286;44475;22095;44549;29042;9039;2919;6352;4547;15512;9257;12818;8339
287;41126;20420;41199;27522;9076;2931;6384;4577;15643;9328;12785;8324
288;42455;21084;42528;27647;9113;2943;6416;4591;15682;9352;12797;8336
289;41348;20530;41420;27032;9150;2955;6448;4622;15784;9403;12905;8402
290;42923;21317;42996;27863;9187;2967;6480;4642;15730;9379;12774;8307
291;42106;20908;42178;27986;9224;2979;6512;4658;15745;9388;12916;8404
292;42397;21053;42470;28264;9261;2991;6544;4679;15901;9484;13024;8467
293;43784;21746;43858;29146;9298;3003;6576;4702;15896;9476;13051;8482
294;41905;20806;41982;27944;9335;3015;6608;4710;16170;9645;13092;8520
295;43112;21409;43183;27400;9372;3027;6640;4742;16169;9644;13172;8570
296;44649;22177;44718;28471;9409;3039;6672;4771;16095;9600;13205;8585
297;44386;22045;44464;29070;9446;3051;6704;4785;16235;9680;13323;8664
298;43857;21780;43930;29008;9483;3063;6736;4821;16334;9740;13385;8708
299;45212;22457;45291;29838;9520;3075;6768;4830;16325;9731;13231;8611
300;45271;22486;45349;30229;9557;3087;6800;4841;16455;9813;13494;8778
301;47402;23551;47469;31560;9594;3099;6832;4873;16364;9761;13372;8698
302;48579;24139;48647;31905;9631;3111;6864;4884;16504;9850;13439;8750
303;46738;23218;46797;31444;9668;3123;6896;4905;16567;9886;13505;8789
304;45683;22690;45757;30736;9705;3135;6928;4941;16845;10056;13689;8910
305;44458;22077;44533;30844;9742;3147;6960;4968;16993;10135;13576;8848
306;45931;22813;46008;31365;9779;3159;6992;4980;16911;10086;13623;8889
307;42778;21236;42854;29078;9816;3171;7024;5004;17016;10149;13750;8956
308;46205;22949;46281;30967;9853;3183;7056;5013;16934;10100;13964;9083
309;46788;23240;46872;31542;9890;3195;7088;5050;17026;10147;13928;9065
310;47559;23625;47633;31259;9927;3207;7120;5070;17088;10194;13978;9106
311;45724;22707;45801;29690;9964;3219;7152;5094;17300;10313;13904;9050
312;50047;24868;50120;31793;10001;3231;7184;5114;17224;10270;14089;9181
313;48398;24043;48475;31668;10038;3243;7216;5141;17343;10335;14196;9240
314;52573;26130;52656;33798;10075;3255;7248;5160;17251;10291;14041;9145
315;51918;25802;51997;33488;10112;3267;7280;5162;17331;10335;14092;9157
316;51845;25765;51923;33949;10149;3279;7312;5194;17457;10410;14261;9272
317;51858;25771;51942;34114;10186;3291;7344;5216;17465;10418;14174;9218
318;51417;25550;51497;33151;10223;3303;7376;5233;17623;10513;14321;9344
319;49894;24788;49962;33490;10260;3315;7408;5261;17799;10611;14522;9458
320;52991;26336;53061;34969;10297;3327;7440;5282;17672;10541;14395;9382
321;51264;25472;51335;34542;10334;3339;7472;5298;17860;10651;14534;9458
322;51887;25783;51963;34627;10371;3351;7504;5326;18023;10748;14613;9519
323;53168;26423;53259;34910;10408;3363;7536;5356;17968;10708;14500;9439
324;50851;25264;50935;33703;10445;3375;7568;5382;18122;10805;14702;9566
325;52532;26104;52617;34442;10482;3387;7600;5385;17983;10717;14629;9520
326;53345;26510;53433;34701;10519;3399;7632;5404;17907;10683;14766;9615
327;54966;27320;55051;35400;10556;3411;7664;5424;18082;10783;14703;9579
328;55303;27488;55386;36018;10593;3423;7696;5442;18357;10953;14867;9680
329;54576;27124;54661;35390;10630;3435;7728;5467;18433;10990;14867;9674
330;54433;27052;54522;35350;10667;3447;7760;5487;18475;11020;14882;9701
331;56144;27907;56233;36356;10704;3459;7792;5519;18436;10999;14909;9719
332;55911;27790;55998;35761;10741;3471;7824;5542;18565;11071;15048;9804
333;55988;27828;56080;36078;10778;3483;7856;5569;18715;11146;15123;9855
334;58289;28978;58377;37916;10815;3495;7888;5563;18526;11038;15136;9862
335;59538;29602;59620;38356;10852;3507;7920;5611;18460;11005;15164;9875
336;61813;30739;61891;39789;10889;3519;7952;5612;18800;11213;15252;9927
337;61222;30443;61303;40176;10926;3531;7984;5662;18731;11174;15309;9975
338;61321;30492;61402;40111;10963;3543;8016;5694;18890;11267;15408;10026
