n;b1_a;b1_c;b2_a;b2_c
712;1650;470;1630;1873;
713;1699;504;1592;1858;
714;1630;458;1602;1863;
715;1669;488;1615;1873;
716;1695;503;1606;1868;
717;1674;491;1619;1877;
718;1731;516;1614;1877;
719;1643;472;1641;1891;
720;1670;485;1608;1875;
721;1659;477;1611;1878;
722;1670;485;1646;1898;
723;1619;448;1632;1892;
724;1699;493;1641;1897;
725;1642;464;1584;1870;
726;1663;477;1662;1912;
727;1695;497;1613;1890;
728;1664;477;1664;1918;
729;1687;481;1659;1916;
730;1679;481;1664;1921;
731;1661;475;1609;1894;
732;1705;499;1671;1925;
733;1742;510;1704;1944;
734;1736;511;1657;1921;
735;1727;507;1675;1931;
736;1745;515;1724;1957;
737;1672;472;1668;1931;
738;1690;483;1752;1975;
739;1674;478;1703;1952;
740;1727;502;1686;1946;
741;1755;516;1681;1947;
742;1753;511;1669;1941;
743;1810;544;1725;1969;
744;1740;501;1715;1964;
745;1771;527;1696;1958;
746;1770;528;1689;1953;
747;1784;528;1676;1952;
748;1733;500;1711;1968;
749;1709;487;1745;1985;
750;1720;487;1753;1993;
751;1730;498;1681;1959;
752;1748;512;1699;1969;
753;1697;472;1719;1980;
754;1721;492;1733;1990;
755;1793;527;1753;2002;
756;1754;508;1723;1987;
757;1766;515;1739;2000;
758;1782;520;1734;1996;
759;1789;522;1709;1986;
760;1749;501;1765;2015;
761;1793;526;1732;2000;
762;1791;521;1725;1999;
763;1759;503;1722;1998;
764;1768;511;1708;1994;
765;1733;484;1734;2007;
766;1845;548;1743;2013;
767;1792;526;1707;1999;
768;1748;490;1730;2008;
769;1814;532;1747;2016;
770;1747;494;1756;2024;
771;1861;561;1739;2017;
772;1798;522;1736;2019;
773;1774;505;1737;2021;
774;1748;488;1806;2057;
775;1771;503;1802;2056;
776;1853;553;1741;2028;
777;1849;545;1801;2059;
778;1833;536;1775;2046;
779;1843;539;1788;2053;
780;1762;495;1769;2047;
781;1821;527;1797;2062;
782;1807;521;1769;2048;
783;1853;548;1801;2065;
784;1786;506;1794;2065;
785;1885;569;1770;2053;
786;1817;519;1780;2061;
787;1874;549;1823;2085;
788;1833;530;1827;2090;
789;1792;503;1782;2068;
790;1782;501;1778;2070;
791;1843;538;1769;2063;
792;1876;555;1788;2074;
793;1860;543;1816;2091;
794;1810;508;1836;2100;
795;1852;534;1783;2078;
796;1837;526;1824;2100;
797;1848;535;1876;2126;
798;1861;543;1807;2092;
799;1862;542;1789;2087;
800;1881;546;1769;2077;
801;1856;536;1830;2110;
802;1836;526;1807;2099;
803;1840;532;1783;2088;
