n;q1_a;q1_c;q2_a;q2_c
626;15994;6459;11187;11983;
627;16403;6497;12596;11932;
628;14157;6843;12250;12477;
629;15947;6450;12259;12403;
630;18156;7223;12443;12103;
631;15166;5998;11109;11392;
632;13736;6132;11311;11235;
633;14879;6620;12512;11986;
634;14623;5877;10995;11438;
635;14930;6853;10913;12314;
636;15604;6370;11592;11768;
637;13956;6875;11533;12052;
638;17786;7262;12740;12592;
639;14109;6074;12327;11578;
640;14381;6172;12708;12875;
641;18293;7341;11995;12062;
642;14557;6189;11540;12327;
643;13630;6659;11446;11587;
644;14720;6394;13915;12552;
645;13057;5833;12677;12818;
646;16063;6127;11505;12255;
647;14292;6307;13622;12608;
648;15290;6614;11958;11552;
649;14482;5931;13532;12861;
650;18114;7146;11749;12965;
651;14829;6873;11290;12441;
652;15634;6525;11218;12817;
653;15864;6332;12555;12385;
654;16599;6644;11639;11745;
655;14923;6156;11742;11970;
656;13375;6757;12514;12815;
657;15500;6804;12588;12263;
658;15544;6046;12842;12429;
659;16821;7056;11323;11713;
660;14726;6243;13041;12749;
661;14729;6166;13194;13762;
662;15916;6234;13412;13602;
663;14271;6571;13592;13035;
664;14197;6380;12868;12325;
665;15178;6759;11705;12354;
666;16174;6954;12924;14049;
667;17076;6863;14046;13228;
668;21062;7912;13169;14126;
669;13355;6883;11039;12411;
670;15720;6570;12541;12781;
671;16086;6732;12278;12300;
672;15599;6594;12360;12436;
673;16546;6792;11929;12088;
674;14841;6818;12947;13056;
675;15920;6871;13793;14717;
676;15825;6806;12204;12171;
677;15782;7017;11825;12741;
678;15388;6957;13447;12699;
679;14769;6447;13239;13487;
680;15602;6570;14735;13825;
681;19877;7763;13053;13470;
682;18455;7241;12256;12767;
683;17041;6853;13083;12461;
684;16506;7088;12456;12890;
685;16443;7175;13406;13912;
686;14209;7266;12895;12616;
687;14576;6943;13601;13383;
688;16064;7217;13022;13653;
689;16808;7273;13301;13136;
690;15762;6852;13399;12925;
691;15654;7409;14433;14023;
692;15848;6550;14767;13965;
693;15604;7206;12527;13362;
694;17435;7508;13729;13109;
695;16168;7131;11761;12738;
696;18284;7253;13722;12755;
697;21097;7759;13891;14070;
698;17216;7238;12224;12824;
699;15320;6760;12741;13321;
700;17189;6870;14819;13692;
701;19965;7653;13774;13374;
702;15595;6602;13372;13462;
703;19809;7679;14024;15128;
704;17942;7218;14050;13556;
705;16391;6815;14042;13236;
706;15277;7683;14383;14676;
707;21167;7243;12468;12740;
708;16826;7615;13033;13752;
709;17033;6971;13278;12921;
710;15759;6901;14321;14154;
711;16704;7408;13378;13835;
712;17177;7207;15652;15082;
713;15125;6807;14310;13445;
714;14886;7195;13577;13287;
715;16186;6769;13896;14625;
716;15791;7151;13800;14594;
717;16535;6959;12717;13385;
718;17277;7212;12517;13165;
719;17688;7294;16272;14637;
720;15929;7332;13696;14261;
721;19822;8266;13818;13315;
722;17390;7126;12552;13185;
723;15229;6861;13874;14132;
724;17336;7229;13992;14522;
725;17792;7658;12781;13273;
726;18950;7506;14373;13758;
727;21885;9035;13436;13935;
728;18292;7047;15340;13734;
729;19290;7743;15235;14291;
730;17022;7478;14201;14628;
731;18483;9061;12988;13640;
732;17056;7255;13728;14788;
733;17722;7357;13144;13491;
734;18031;7470;13301;15096;
735;18335;7632;14824;14470;
736;16675;7232;15478;14927;
737;19035;7346;13874;14387;
738;20871;8223;14409;14885;
739;19706;7552;13352;14092;
740;18153;7946;13874;15552;
741;18902;7855;13141;14186;
742;15939;8006;13433;14439;
743;20381;7856;12949;14003;
744;17183;7398;13639;15822;
745;21900;8211;14376;14715;
746;20709;8329;14736;14631;
747;19433;8498;19598;15924;
748;17430;7430;14640;14184;
749;17643;7732;13592;14097;
750;16992;8523;14780;15959;
751;16400;6968;14821;14851;
752;19536;7654;13240;14279;
753;21306;8430;13968;15142;
754;23532;8986;16493;14899;
755;20181;8131;14406;14236;
756;18316;7821;16276;15700;
757;18858;8233;16134;14670;
758;17074;8397;15279;14685;
759;20285;8095;16036;14682;
760;17521;7567;14241;15404;
761;17687;7755;16530;15290;
762;18032;7568;15893;14547;
763;18854;8579;15218;14893;
764;21246;8664;14566;14490;
765;17895;7699;15720;14672;
766;19274;7911;16203;16234;
767;18251;8080;15773;14370;
768;20483;8490;17907;16897;
769;21298;9153;14974;15121;
770;18571;8021;14749;15685;
771;15962;7447;16408;15371;
772;20175;8272;13844;14535;
773;19042;7908;16580;16207;
774;21684;8850;16487;15731;
775;16157;7804;14519;15538;
776;19703;7774;14742;14869;
777;18719;7980;14279;14515;
778;20159;8505;15606;16188;
779;18148;7528;14829;14971;
780;18573;8092;14098;15194;
781;20950;7702;16466;16092;
782;19959;7733;14452;14901;
783;20365;9479;15233;15988;
784;18070;8059;14816;14331;
785;19249;8579;14990;15318;
786;20522;8665;16563;16043;
787;19943;8338;15959;16397;
788;17068;8289;15014;14786;
789;22738;9274;13736;14815;
790;19744;8656;17584;17173;
791;18083;7669;16597;15693;
792;20449;8037;16178;15657;
793;20568;7924;14227;15542;
794;18310;8073;14591;14868;
795;20222;8240;14926;14677;
796;19328;7932;15826;15820;
797;19590;7568;15372;15414;
798;19291;8012;17353;16033;
799;18378;7812;17466;15935;
800;17220;8065;14488;16023;
801;21400;8390;15347;15822;
802;22497;9345;15058;15233;
803;20458;8518;15543;14930;
804;20919;8542;14180;16400;
805;23878;8763;17524;16250;
806;19059;8541;16016;16689;
807;20247;8353;14702;15286;
808;17602;8609;14871;15867;
809;18647;9110;15693;17052;
810;21011;8466;15759;16442;
811;20970;8235;16151;15782;
812;22203;8312;15846;15954;
813;16858;8959;16952;16884;
814;20485;8978;15918;16004;
815;20913;8167;16162;15630;
816;17987;8569;17767;17362;
817;25535;9638;16606;15890;
818;19915;7941;14802;16008;
819;19937;8814;15727;16588;
820;20826;8460;15678;15883;
