DataSize,RecursiveTime(us),MemorizedTime(us),BottomUpTime(us)
759,-1,7331,1979
760,-1,7713,2091
761,-1,7328,2195
762,-1,7371,2004
763,-1,7718,2001
764,-1,7506,2391
765,-1,7649,2015
766,-1,7662,2016
767,-1,7551,2282
768,-1,7554,2022
769,-1,7744,2135
770,-1,7586,2292
771,-1,7740,2043
772,-1,7802,2044
773,-1,9372,2067
774,-1,7846,2053
775,-1,7831,2187
776,-1,8103,2068
777,-1,7822,2068
778,-1,7794,2072
779,-1,7958,2212
780,-1,7692,2480
781,-1,7696,2393
782,-1,8034,2099
783,-1,8042,2242
784,-1,7818,2098
785,-1,8070,2244
786,-1,8197,2115
787,-1,7893,2112
788,-1,8412,2128
789,-1,8081,2127
790,-1,8148,2587
791,-1,7926,2142
792,-1,8204,2154
793,-1,8166,2155
794,-1,8188,2161
795,-1,8213,2170
796,-1,8379,2172
797,-1,8352,2386
798,-1,7856,2509
799,-1,8177,2193
800,-1,8550,2197
801,-1,8211,2195
802,-1,8260,2200
803,-1,8453,2207
804,-1,8735,2243
805,-1,8462,2220
806,-1,8389,2231
807,-1,8394,2231
808,-1,8265,2634
809,-1,8655,2245
810,-1,8590,2556
811,-1,8627,2255
812,-1,8463,2553
813,-1,8425,2278
814,-1,8554,2283
815,-1,11510,2279
816,-1,8510,2285
817,-1,8756,2360
818,-1,8820,2288
819,-1,8808,2296
820,-1,8867,2421
821,-1,8646,2458
822,-1,8446,2303
823,-1,8589,2433
824,-1,8772,2325
825,-1,8924,2355
826,-1,8953,2335
827,-1,8622,2345
828,-1,8760,2603
829,-1,8814,2353
830,-1,9191,2752
831,-1,8617,2426
832,-1,8957,2376
833,-1,9011,2378
834,-1,9212,2520
835,-1,9171,2384
836,-1,8764,2382
837,-1,9121,2402
838,-1,9016,2407
839,-1,8808,2767
840,-1,9101,2409
841,-1,9090,2752
842,-1,9834,2428
843,-1,9095,2429
844,-1,9003,2752
845,-1,8915,2612
846,-1,9333,2449
847,-1,9420,2449
848,-1,11455,4694
849,-1,17201,2660
850,-1,14646,3893
851,-1,22362,3861
852,-1,12564,5677
853,-1,10179,2743
854,-1,9463,2492
855,-1,9193,2504
856,-1,9374,2628
857,-1,9060,2727
858,-1,9428,2520
859,-1,9744,2530
860,-1,9987,2553
861,-1,9493,2638
862,-1,9266,2533
863,-1,9622,2718
864,-1,9790,2549
865,-1,9965,2555
866,-1,9592,2833
867,-1,9868,2566
868,-1,9759,2697
869,-1,9675,2878
870,-1,10007,2587
871,-1,9698,2596
872,-1,9614,2816
873,-1,9643,2657
874,-1,9507,2913
875,-1,9720,2707
876,-1,10056,2617
877,-1,9997,2627
878,-1,10100,2647
879,-1,9819,3016
880,-1,10008,2780
881,-1,9603,2946
882,-1,9952,2655
883,-1,10095,2661
884,-1,9978,2672
885,-1,10595,2671
886,-1,10950,4397
887,-1,9924,3060
888,-1,10484,2794
889,-1,9960,2694
890,-1,9865,2835
891,-1,10203,3006
892,-1,10293,2732
893,-1,10572,2722
894,-1,10638,2732
895,-1,10720,2921
896,-1,9994,3115
897,-1,10475,2743
898,-1,10295,2757
899,-1,10324,2754
900,-1,10742,2769
901,-1,10576,2793
902,-1,10688,2778
903,-1,10700,2778
904,-1,10653,3003
905,-1,10444,2869
906,-1,10254,2890
907,-1,10273,2816
908,-1,10353,2817
909,-1,10588,2819
910,-1,10621,2826
911,-1,10576,2838
912,-1,10893,2841
913,-1,10819,2850
914,-1,10872,2854
915,-1,10949,2929
916,-1,10665,3054
917,-1,10714,3245
918,-1,10634,2865
919,-1,10671,2884
920,-1,11204,3347
921,-1,10469,2994
922,-1,10942,2907
923,-1,10653,2906
924,-1,10858,2911
925,-1,10850,2927
926,-1,12546,3224
927,-1,11009,2940
928,-1,11139,2937
929,-1,11408,2950
930,-1,11113,2956
931,-1,12252,2960
932,-1,11466,2963
933,-1,11154,3045
934,-1,10999,3354
935,-1,10914,3128
936,-1,11048,3118
937,-1,10879,3003
938,-1,10932,3004
939,-1,11150,3010
940,-1,11209,3053
941,-1,11258,3027
942,-1,11280,3018
943,-1,11779,3237
944,-1,11341,3044
945,-1,11399,3046
946,-1,11640,3057
947,-1,11721,3066
948,-1,11618,3069
949,-1,11970,3072
950,-1,11642,3078
951,-1,13911,3113
952,-1,11766,3096
953,-1,11712,3100
954,-1,11810,3110
955,-1,11849,3120
956,-1,11961,3124
957,-1,11749,3119
958,-1,11977,3129
959,-1,11981,3140
960,-1,12008,3142
961,-1,11981,3142
962,-1,11628,3157
963,-1,12312,3168
964,-1,11919,3174
965,-1,12254,3179
966,-1,12331,3180
967,-1,11824,3303
968,-1,12110,3200
969,-1,12075,3280
970,-1,15047,3378
971,-1,11661,3396
972,-1,11712,3441
973,-1,12195,3597
974,-1,11792,3588
975,-1,11911,3582
976,-1,11968,3622
977,-1,12050,3631
978,-1,12295,3443
979,-1,12319,3300
980,-1,12276,4118
981,-1,14598,3278
982,-1,12910,3276
983,-1,12853,3289
984,-1,12624,3305
985,-1,12547,3304
986,-1,12675,3314
987,-1,12608,3320
988,-1,12571,3332
989,-1,12545,3337
990,-1,12553,3500
991,-1,12456,3356
992,-1,12325,3413
993,-1,12546,3860
994,-1,12343,3834
995,-1,12815,3392
996,-1,12837,3381
997,-1,12769,3389
998,-1,12692,3396
999,-1,13181,3397
1000,-1,12898,3408
1001,-1,12986,3429
1002,-1,12926,3422
1003,-1,12932,3432
1004,-1,12811,3432
1005,-1,12567,3615
1006,-1,13028,4263
1007,-1,12924,3483
1008,-1,12962,4416
1009,-1,13400,3465
1010,-1,13330,3494
1011,-1,13553,3487
1012,-1,13011,3491
1013,-1,12983,3492
1014,-1,13976,3830
1015,-1,12845,3992
1016,-1,13077,3814
1017,-1,13757,3530
1018,-1,13370,3543
1019,-1,13501,3545
1020,-1,13397,3555
1021,-1,13470,3538
1022,-1,14445,3689
1023,-1,14054,3773
1024,-1,13222,3693
1025,-1,13298,3962
1026,-1,13729,3590
1027,-1,13615,3719
1028,-1,13553,3609
1029,-1,13725,3606
1030,-1,13593,3735
1031,-1,13271,4139
1032,-1,14115,3630
1033,-1,13666,3626
1034,-1,13601,3642
1035,-1,14456,3709
1036,-1,14379,3660
1037,-1,14767,4098
1038,-1,14571,3671
1039,-1,13767,3685
1040,-1,13840,3675
1041,-1,13922,3684
1042,-1,14177,3808
1043,-1,13394,4167
1044,-1,14175,3723
1045,-1,13910,3838
1046,-1,13995,3727
1047,-1,14151,3735
1048,-1,14121,3892
1049,-1,13607,4162
1050,-1,13962,4028
1051,-1,14353,3757
1052,-1,14304,3757
1053,-1,14456,3778
1054,-1,14059,3937
1055,-1,14664,3792
1056,-1,14104,4128
1057,-1,14333,3795
1058,-1,14380,3811
1059,-1,14578,3954
1060,-1,14635,3829
1061,-1,15570,3836
1062,-1,14860,3834
1063,-1,14427,3949
1064,-1,14476,3886
1065,-1,14422,4241
1066,-1,14377,3861
1067,-1,14521,3867
1068,-1,14601,4240
1069,-1,14462,3880
1070,-1,14465,4365
1071,-1,15050,3907
1072,-1,14625,3896
1073,-1,14229,4073
1074,-1,14647,3921
1075,-1,14644,4088
1076,-1,14878,3939
1077,-1,14831,4297
1078,-1,14711,4149
1079,-1,14843,3975
1080,-1,14888,3961
1081,-1,15277,3967
1082,-1,14592,4368
1083,-1,14896,4003
1084,-1,14927,3988
1085,-1,16630,5735
1086,-1,15122,4438
1087,-1,15048,4027
1088,-1,15092,4020
1089,-1,15109,4386
1090,-1,16087,4117
1091,-1,15574,4043
1092,-1,15174,4106
1093,-1,15704,4429
1094,-1,15067,4166
1095,-1,15795,4083
1096,-1,15643,4208
1097,-1,15448,4172
1098,-1,15838,4092
1099,-1,15350,4103
1100,-1,15066,4492
1101,-1,15943,4150
1102,-1,15319,4121
1103,-1,16373,4404
1104,-1,16545,4172
1105,-1,15625,4154
1106,-1,15757,4532
1107,-1,15510,4159
1108,-1,16141,4693
1109,-1,15756,4562
1110,-1,15816,4297
1111,-1,15648,4196
1112,-1,15605,4585
1113,-1,15765,4231
1114,-1,15780,4220
1115,-1,15817,4497
1116,-1,15875,4228
1117,-1,16065,4234
1118,-1,15760,4389
1119,-1,16049,4315
1120,-1,16028,4254
1121,-1,16024,4674
1122,-1,16068,4373
1123,-1,15978,4290
1124,-1,15911,4386
1125,-1,16292,4305
1126,-1,16178,4393
1127,-1,16172,4330
1128,-1,16571,4323
1129,-1,16172,4417
1130,-1,16105,4365
1131,-1,18708,4494
1132,-1,17967,4511
1133,-1,16200,4410
1134,-1,16264,4358
1135,-1,16254,4751
1136,-1,16535,4414
1137,-1,16625,4394
1138,-1,16426,4531
1139,-1,16462,4539
1140,-1,16495,4772
1141,-1,17006,4483
1142,-1,16724,4434
1143,-1,16458,4720
1144,-1,16906,4443
1145,-1,16832,4445
1146,-1,16596,4512
1147,-1,16735,4464
1148,-1,16716,4837
1149,-1,16762,4485
1150,-1,17013,4478
1151,-1,16786,4871
1152,-1,17345,4512
1153,-1,18820,4858
1154,-1,16905,4700
1155,-1,17193,4525
1156,-1,16878,4550
1157,-1,17000,4585
1158,-1,17492,4847
1159,-1,16941,4660
1160,-1,17091,4698
1161,-1,17294,4585
1162,-1,17241,4632
1163,-1,17228,4750
1164,-1,17130,4627
1165,-1,16979,5210
1166,-1,17372,4609
1167,-1,17364,4627
1168,-1,17386,4670
1169,-1,17314,4638
1170,-1,17486,5005
1171,-1,17483,4714
1172,-1,17651,4779
1173,-1,17292,4681
1174,-1,21618,5073
1175,-1,17131,4666
1176,-1,17418,4950
1177,-1,17958,4710
1178,-1,17701,4773
1179,-1,17525,4869
1180,-1,17543,4785
1181,-1,17727,5101
1182,-1,17923,4741
1183,-1,17575,5080
1184,-1,17873,4824
1185,-1,17762,5147
1186,-1,18229,4770
1187,-1,17994,5174
1188,-1,17991,4936
1189,-1,17735,5151
1190,-1,18209,4803
1191,-1,18078,5168
1192,-1,18311,4836
1193,-1,18060,5184
1194,-1,22037,4921
1195,-1,18033,4957
1196,-1,18834,4932
1197,-1,18425,4919
1198,-1,18352,4898
1199,-1,18671,4881
1200,-1,18291,4938
1201,-1,18339,5052
1202,-1,18135,4897
1203,-1,18683,4912
1204,-1,18354,4982
1205,-1,18473,4995
1206,-1,18362,4972
1207,-1,18389,4977
1208,-1,18313,5123
1209,-1,18780,4956
1210,-1,18770,5229
1211,-1,18461,4970
1212,-1,18675,5343
1213,-1,18597,5003
1214,-1,20760,5117
1215,-1,18431,5120
1216,-1,18951,5026
1217,-1,18881,5398
1218,-1,18530,5028
1219,-1,18927,5401
1220,-1,18824,5700
1221,-1,18664,5499
1222,-1,18721,5061
1223,-1,19129,5136
1224,-1,19672,5086
1225,-1,19455,5203
1226,-1,19101,5525
1227,-1,18859,5101
1228,-1,19065,5474
1229,-1,19005,5119
1230,-1,19422,5139
1231,-1,18872,5334
1232,-1,19995,5134
1233,-1,22650,5569
1234,-1,19349,5202
1235,-1,19437,5182
1236,-1,19340,5317
1237,-1,18984,5180
1238,-1,19369,5678
1239,-1,19506,5278
1240,-1,20625,5214
1241,-1,19406,5388
1242,-1,19576,5226
1243,-1,19721,5403
1244,-1,20206,5252
1245,-1,19810,5270
1246,-1,19880,5459
1247,-1,19668,5258
1248,-1,19674,5712
1249,-1,19858,5298
1250,-1,19912,5315
1251,-1,19804,5675
1252,-1,22539,5325
1253,-1,20055,5335
1254,-1,19931,5688
1255,-1,19651,5340
1256,-1,21015,5354
1257,-1,19796,5835
1258,-1,20238,5365
1259,-1,20323,5379
1260,-1,20282,5760
1261,-1,19979,5390
1262,-1,20327,5621
1263,-1,19902,5474
1264,-1,21683,5433
1265,-1,21506,6037
1266,-1,22635,5866
1267,-1,20183,5430
1268,-1,20455,5456
1269,-1,20594,6686
1270,-1,20443,5812
1271,-1,20968,5467
1272,-1,20629,5502
1273,-1,20614,5852
1274,-1,20542,5512
1275,-1,21361,5514
1276,-1,20571,5597
1277,-1,20516,5536
1278,-1,20772,5528
1279,-1,20230,5695
1280,-1,20856,5588
1281,-1,23144,5557
1282,-1,21618,5580
1283,-1,20723,6022
1284,-1,20452,5594
1285,-1,21156,5588
1286,-1,21013,5753
1287,-1,21948,5835
1288,-1,22255,5619
1289,-1,21513,5639
1290,-1,20780,6058
1291,-1,21078,5766
1292,-1,20952,5666
1293,-1,21410,5666
1294,-1,21216,6035
1295,-1,21735,6001
1296,-1,21345,5699
1297,-1,21580,5775
1298,-1,21422,5893
1299,-1,21350,5893
1300,-1,21657,5720
1301,-1,21227,5819
1302,-1,21728,5892
1303,-1,21747,6139
