Sequence Size,Iterative Time (ms),Recursive Time (ms)
1114,2056,1737
1115,1673,1931
1116,1700,1832
1117,1856,1847
1118,1873,1770
1119,1660,2272
1120,1952,1737
1121,1709,1721
1122,1855,1798
1123,1828,1804
1124,2321,1816
1125,1710,2012
1126,1734,1831
1127,1731,1943
1128,1808,1826
1129,1714,2230
1130,1956,1831
1131,1743,1768
1132,1709,1786
1133,1869,1843
1134,1699,1773
1135,2492,1847
1136,1718,1764
1137,1697,1777
1138,1763,1901
1139,1881,1824
1140,1968,1782
1141,1720,1788
1142,1742,1880
1143,1749,1920
1144,2495,1871
1145,1875,1863
1146,1749,2102
1147,1839,1819
1148,1786,1831
1149,1921,1879
1150,1808,1858
1151,1957,2031
1152,1761,1825
1153,2918,2579
1154,2052,2235
1155,1964,1990
1156,1804,1868
1157,1796,1870
1158,1776,1857
1159,1800,2170
1160,1943,1939
1161,1876,1885
1162,2420,1988
1163,1887,1878
1164,1815,2253
1165,2021,1931
1166,1804,1868
1167,1848,1900
1168,2328,1935
1169,1855,1909
1170,1889,2063
1171,2045,2033
1172,1892,1915
1173,1880,1943
1174,1866,2270
1175,1863,1947
1176,1998,1975
1177,1902,1944
1178,1921,2277
1179,1906,2180
1180,1896,2030
1181,2031,2004
1182,2044,1993
1183,1878,2268
1184,1940,1963
1185,1832,1881
1186,1947,2267
1187,1984,2018
1188,2044,2088
1189,1921,2025
1190,2202,2035
1191,2131,2097
1192,1889,2053
1193,1909,1982
1194,1917,2078
1195,1921,1997
1196,1904,1995
1197,2078,2073
1198,1916,1983
1199,1947,1998
1200,1906,1984
1201,1934,2011
1202,2085,2044
1203,2096,2211
1204,1939,2019
1205,1947,2038
1206,1959,2130
1207,2100,2556
1208,1950,2030
1209,1959,2048
1210,1930,2041
1211,2003,2179
1212,2405,2219
1213,2020,2041
1214,1948,2063
1215,2002,2074
1216,2037,2512
1217,2167,2121
1218,2160,2151
1219,2000,2079
1220,1989,2096
1221,2084,2267
1222,2216,2146
1223,2400,2162
1224,2046,2114
1225,2215,2121
1226,2088,2254
1227,2187,2158
1228,2223,2264
1229,2807,2574
1230,2106,2169
1231,2378,2670
1232,2268,2197
1233,2228,2206
1234,2065,2108
1235,2486,2222
1236,2340,2194
1237,2067,2392
1238,2077,2150
1239,2084,2145
1240,2089,2476
1241,2295,2203
1242,2095,2254
